,Open,High,Low,Close,Volume,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2003-10-31,,,,,,,,,,
2003-11-30,,,,,,,,,,
2003-12-31,,,,,,,,,,
2004-01-31,,,,,,,,,,
2004-02-29,,,,,,,,,,
2004-03-31,,,,,,,,,,
2004-04-30,,,,,,,,,,
2004-05-31,,,,,,,,,,
2004-06-30,,,,,,,,,,
2004-07-31,,,,,,,,,,
2004-08-31,105.38111111111112,107.9988888888889,103.05333333333333,105.26166666666666,14845144.444444444,52.85370989468528,54.16665170917742,51.68621706728246,52.79380274483047,14845144.444444444
2004-09-30,111.97138095238094,114.92047619047621,110.95714285714286,113.22714285714285,10118795.238095239,56.159048077644,57.638161578371246,55.65035875481714,56.78887323996461,10118795.238095239
2004-10-31,152.44133333333335,156.54142857142855,149.3790476190476,153.2309523809524,24458128.57142857,76.45668111682585,78.51307663182834,74.92079713296046,76.85271315359353,24458128.57142857
2004-11-30,178.20380952380953,181.95904761904762,174.16476190476192,177.49547619047618,26411052.38095238,89.37780548516245,91.26123851009909,87.352028295521,89.0225421546282,26411052.38095238
2004-12-31,181.42681818181816,183.99909090909094,179.52499999999998,181.77,13199663.636363637,90.99429977718829,92.28441861408247,90.04044623176236,91.16642201112627,13199663.636363637
2005-01-31,193.4595,196.2795,189.7935,192.846,20495920.0,97.02927006140443,98.44363607379027,95.19059424530283,96.72157022147583,20495920.0
2005-02-28,195.94973684210524,199.37263157894736,192.00052631578947,195.0136842105263,34240394.7368421,98.27824394518626,99.99499074652095,96.29752439051337,97.80876840337433,34240394.7368421
2005-03-31,181.67263636363634,183.26590909090913,179.55772727272725,181.15795454545452,15616045.454545455,91.11758945151101,91.9166925699209,90.05686053751538,90.85945169589779,15616045.454545455
2005-04-30,198.9207142857143,201.3066666666667,196.6847619047619,199.2397619047619,21567976.19047619,99.76833242738684,100.96500262412093,98.64689446535411,99.9283501964342,21567976.19047619
2005-05-31,237.59714285714284,241.51476190476188,236.11661904761908,239.70999999999998,24144242.85714286,119.16642677203134,121.1313016764384,118.42387267390426,120.22612653511074,24144242.85714286
2005-06-30,287.46772727272725,291.6246363636364,282.99590909090904,287.54545454545456,35328381.81818182,144.17893018168456,146.26382058408163,141.93609768170845,144.217914157848,35328381.81818182
2005-07-31,298.5795,301.25944,294.79499999999996,298.21195,20474360.0,149.75202014012808,151.0961393072321,147.85391085861238,149.5676760876981,20474360.0
2005-08-31,286.6608695652174,289.4730434782609,284.01217391304345,286.92351739130436,12419860.869565217,143.77425212553794,145.18469297785245,142.44580350582555,143.9059826781778,12419860.869565217
2005-09-30,303.432380952381,307.73380952380955,301.1076190476191,304.2395238095237,16188814.285714285,152.18597399871047,154.34334789095652,151.01999377708466,152.59079507115115,16188814.285714285
2005-10-31,322.637619047619,326.1147619047619,318.1578571428571,322.4704761904762,18358952.38095238,161.81832719788872,163.56228204801388,159.57151053771986,161.73449699350718,18358952.38095238
2005-11-30,398.68523809523805,403.1476190476192,394.04571428571415,399.13535714285706,20138476.19047619,199.95987602903028,202.19797530327344,197.6329310680922,200.1856324412572,20138476.19047619
2005-12-31,420.2940476190476,423.7047619047619,414.847619047619,418.95105238095243,18912619.04761905,210.79773622711392,212.5083739447286,208.06608960998065,210.12415934074588,18912619.04761905
2006-01-31,446.9410000000001,453.338,438.62215,445.7115099999999,29874055.0,224.16246806444838,227.37087210034647,219.99016356014485,223.54581952949516,29874055.0
2006-02-28,371.29157894736835,377.1610526315789,362.0928947368421,370.00052631578944,31287047.36842105,186.22063473341692,189.1644588786441,181.6070509369493,185.57310956947842,31287047.36842105
2006-03-31,359.57695652173913,364.7665217391304,353.64004782608697,358.8682608695653,26648404.347826086,180.34518657499734,182.94800383121657,177.36754051905112,179.98974152408945,26648404.347826086
2006-04-30,414.86947368421045,420.42842105263156,409.5094736842105,413.7778947368421,19487226.315789472,208.07705076430975,210.8651309850674,205.38875224431393,207.5295712738864,19487226.315789472
2006-05-31,386.53555454545454,390.54681818181814,379.3927272727273,383.79545454545456,15978486.363636363,193.86622373326526,195.87806591553192,190.2837513478439,192.4919314245637,15978486.363636363
2006-06-30,392.45295454545465,397.48090909090917,388.0,393.6720636363636,12930681.818181818,196.8340852374114,199.3558469469546,194.60071376089007,197.44552724577036,12930681.818181818
2006-07-31,405.12825000000004,408.246,398.74999999999994,403.53439999999995,12739390.0,203.19135725438224,204.75505925265037,199.99235724782199,202.39196460585705,12739390.0
2006-08-31,377.8264434782609,381.04564782608696,374.23173913043485,377.08869565217395,9292560.869565217,189.49818448094885,191.11277072793112,187.69526687309752,189.1281683635982,9292560.869565217
2006-09-30,396.68450000000007,400.56699999999995,393.07349999999997,397.062,12142945.0,198.95640937598404,200.9036703841713,197.14531871260627,199.14574383331586,12142945.0
2006-10-31,439.15936363636354,445.9454545454544,435.3596409090909,440.5345909090909,14395900.0,220.25960210931615,223.66315400250008,218.35385789586056,220.94934491564646,14395900.0
2006-11-30,485.64095238095234,490.2490476190477,481.31054761904767,485.6322857142856,11268704.761904761,243.57236073415407,245.8835427506785,241.4004538848236,243.5680139828158,11268704.761904761
2006-12-31,475.6752500000001,478.736,470.51502500000015,473.49699999999996,9157200.0,238.57408033090164,240.10919407998318,235.98597860882228,237.4815828959798,9157200.0
2007-01-31,490.29299999999995,495.78150000000005,485.50199999999995,490.58099999999996,12446195.0,245.90558698960845,248.6583344573318,243.50266941324657,246.05003288023508,12446195.0
2007-02-28,469.8607894736842,473.42157894736835,463.742105263158,467.2173684210527,11978915.789473685,235.6578479377172,237.44375560042647,232.5890326937844,234.3320447840763,11978915.789473685
2007-03-31,452.5281818181818,456.7419090909091,448.3920454545454,452.9115909090908,10727072.727272727,226.96470922354646,229.0780966845425,224.89023734577322,227.1570073749726,10727072.727272727
2007-04-30,472.91982999999993,476.5054999999999,469.5955,472.49799999999993,9286500.0,237.19210430329585,238.99049074997373,235.5247924713971,236.98053621286869,9286500.0
2007-05-31,472.39366363636367,477.19592272727283,469.15727272727275,473.0108636363637,9043781.818181818,236.9282064942222,239.33677104771607,235.30500035783464,237.23776206260666,9043781.818181818
2007-06-30,514.6146285714285,519.0547619047619,510.18142857142846,515.0208142857142,12277985.714285715,258.1040567829777,260.33099780323585,255.88059316379017,258.30777850957435,12277985.714285715
2007-07-31,532.277619047619,536.617142857143,527.5671428571428,532.4800047619048,11096542.857142856,266.96289841653044,269.13937890806574,264.60036741441616,267.0644046135794,11096542.857142856
2007-08-31,509.95913043478276,514.2869565217391,505.3855652173912,509.8304347826086,7705339.130434782,255.76909992652458,257.9397134459956,253.47523638081242,255.70455284979533,7705339.130434782
2007-09-30,537.9731578947368,543.442094736842,535.0310578947368,540.4268421052632,7299363.157894737,269.81948585184483,272.56242145232665,268.3438808004122,271.05012682790743,7299363.157894737
2007-10-31,633.0213043478261,640.995652173913,625.8426086956522,635.3910782608696,13503913.043478262,317.4907155977748,321.4902356460586,313.89025349008085,318.6792715125434,13503913.043478262
2007-11-30,679.8604761904762,689.2742857142857,664.0538142857143,676.3652333333334,16314600.0,340.98281939300335,345.70429890986514,333.05501607124125,339.2297865198908,16314600.0
2007-12-31,696.6609999999998,703.01,688.0584200000001,695.3982000000001,8522825.0,349.40909239529753,352.59342211609106,345.09448361131524,348.77573728875825,8522825.0
2008-01-31,615.7442857142856,625.561380952381,600.8066761904762,611.8104761904762,15012476.19047619,308.8254574592512,313.74920421283866,301.3335258220996,306.8524622501461,15012476.19047619
2008-02-29,505.26450000000006,512.0055,495.976005,503.79547500000007,17700775.0,253.41451633515265,256.7954529626325,248.75588809606907,252.67772944460484,17700775.0
2008-03-31,440.8504999999999,448.8819500000001,432.45500499999997,440.33399,14546940.0,221.10778856145694,225.13594810407267,216.8970428929621,220.8487338844862,14546940.0
2008-04-30,496.34772727272724,505.17608636363633,489.3963636363636,497.57772727272726,12991022.727272727,248.942324744506,253.37017263220798,245.4558806072693,249.55922906905735,12991022.727272727
2008-05-31,577.7266666666667,584.0742857142856,569.5958095238095,575.9181000000001,9955009.523809524,289.75778786606486,292.94142497263425,285.6797708467663,288.8507044531332,9955009.523809524
2008-06-30,557.8026190476191,564.4285619047619,550.526480952381,556.315238095238,8922885.714285715,279.7649170215477,283.08814694252425,276.1155828288772,279.0189237355485,8922885.714285715
2008-07-31,511.53636363636355,518.3239136363637,501.3991590909091,510.02772727272736,9452850.0,256.5601584491922,259.964442146841,251.47586143866238,255.80350454927148,9452850.0
2008-08-31,485.95142857142855,491.6736142857143,480.1828666666667,485.9066666666667,6547157.142857143,243.7280795183613,246.59803164277466,240.8348674976383,243.70562926419652,6547157.142857143
2008-09-30,436.22880952380956,446.01694761904764,424.7323952380951,432.12095238095236,12756561.904761905,218.7897878773111,223.699011227114,213.0237816255304,216.7294993927034,12756561.904761905
2008-10-31,361.9652173913044,373.3919956521739,347.59956521739133,359.9360869565217,17312669.56521739,181.54301459011234,187.27409501679438,174.33794715020468,180.5253078093838,17312669.56521739
2008-11-30,306.641052631579,315.83862631578944,295.19589999999994,304.5063157894737,16618373.684210526,153.79527760437094,158.4083044183291,148.05498154455756,152.72460411683133,16618373.684210526
2008-12-31,298.65954090909094,306.2636318181819,292.0824181818182,299.54545454545445,10263077.272727273,149.79216451651766,153.60598286293978,146.49342024533146,150.23649293395806,10263077.272727273
2009-01-31,317.582925,324.74994000000004,311.24805,318.76199999999994,10977135.0,159.2831543383279,162.8777580355831,156.1059089863021,159.87451731919808,10977135.0
2009-02-28,348.47242105263155,356.78736842105263,342.4520263157895,349.5921052631579,11734021.05263158,174.77572645058643,178.94607359692395,171.75620811833954,175.33730208603802,11734021.05263158
2009-03-31,328.62036363636366,334.5161818181819,322.3474454545455,328.6659545454545,10350977.272727273,164.8189621649475,167.77599934635535,161.67279114550033,164.84182820476732,10350977.272727273
2009-04-30,375.4538095238096,382.12619047619046,371.50105238095244,377.67476190476185,8356623.80952381,188.30819411747063,191.6547149829807,186.32569576354422,189.42210885603322,8356623.80952381
2009-05-31,399.89897500000006,404.29549000000003,394.9944,400.027465,5697775.0,200.56862362692877,202.77368794924953,198.10874271019208,200.63306755917392,5697775.0
2009-06-30,423.5545454545454,427.30240909090895,419.16636818181814,423.7845454545455,6399095.454545454,212.43303314980386,214.312767527935,210.2321505998502,212.54838924301268,6399095.454545454
2009-07-31,426.33813636363635,431.30906818181813,422.14114090909095,427.29145454545454,6631236.363636363,213.82913824703954,216.32230030857275,211.72414259985973,214.30727329503708,6631236.363636363
2009-08-31,457.82047619047626,460.8385714285715,454.48542857142854,457.91999999999996,4637085.714285715,229.6190501057146,231.13277043440445,227.94636287093823,229.66896609635774,4637085.714285715
2009-09-30,480.0280952380953,484.4547619047619,476.2840476190477,480.6700476190477,4859823.80952381,240.75724216137596,242.9774289987854,238.87942169998055,241.07921224264862,4859823.80952381
2009-10-31,529.9886409090909,535.0545454545454,525.4072818181818,530.2227272727273,7008795.454545454,265.8148654795701,268.3556609444927,263.5170929303797,265.93227108123324,7008795.454545454
2009-11-30,564.7212699999999,568.861495,561.823255,566.9202,4086485.0,283.23495416999054,285.31147669610056,281.7814598723365,284.3378236223365,4086485.0
2009-12-31,599.4004545454546,602.3624681818181,595.9782090909092,599.2904545454546,3870645.4545454546,300.6282378431634,302.113830543694,298.9118166882163,300.5730675377158,3870645.4545454546
2010-01-31,582.1121052631579,586.5345210526316,572.2474210526316,578.6012631578947,9369557.894736841,291.9572968377962,294.1753516552679,287.00968191925443,290.1964401893787,9369557.894736841
2010-02-28,535.3640736842107,539.4583368421053,530.7094789473683,534.8927894736842,5471768.421052632,268.5109042806318,270.5643747261246,266.1764005227525,268.27453251838267,5471768.421052632
2010-03-31,559.51,565.4759304347825,555.6847913043479,561.03,7277417.391304348,280.6212509184423,283.6134527763199,278.70272426262204,281.3836042300829,7277417.391304348
2010-04-30,558.3133333333333,562.6908571428571,552.7886666666668,557.0619047619048,6951176.19047619,280.02106486826915,282.21660419259547,277.2501780728456,279.39341308161767,6951176.19047619
2010-05-31,500.31975,505.90304000000003,490.0875799999999,497.3329999999999,8147915.0,250.93448571822196,253.73477494279413,245.80255895192607,249.43648653825966,8147915.0
2010-06-30,486.5013636363636,491.41103636363636,479.8582272727272,484.47181818181815,5436618.181818182,244.00389847753277,246.46633615036697,240.67204518378395,242.98598354437624,5436618.181818182
2010-07-31,471.9202380952381,477.5906238095238,466.8252428571428,472.96576190476196,6594300.0,236.69076075139833,239.53473267742805,234.13537490103312,237.2151413688914,6594300.0
2010-08-31,479.86090909090905,484.0168181818182,475.355690909091,479.3131818181819,4800159.090909091,240.6733902449498,242.75777909911542,238.41380603404687,240.39867860005532,4800159.090909091
2010-09-30,492.9603857142857,497.95731904761914,489.77518571428567,494.53476190476187,5680066.666666667,247.24340957691675,249.74961265238645,245.64587815044464,248.03303517071774,5680066.666666667
2010-10-31,575.3889428571429,580.3465619047618,571.0800523809523,575.9385714285714,7549333.333333333,288.5853066240309,291.07179168903417,286.42419022664916,288.86097186192626,7549333.333333333
2010-11-30,604.385238095238,607.7809523809524,598.3381619047619,602.0109523809524,5560285.714285715,303.1283472161826,304.8314617103271,300.09544684805593,301.9375284154808,5560285.714285715
2010-12-31,592.1950818181817,594.906990909091,588.6469000000001,591.5563636363636,3840218.1818181816,297.01439589563637,298.3745491037434,295.23481158024555,296.6940479212192,3840218.1818181816
2011-01-31,616.5809999999999,620.8610000000001,610.3535949999999,615.4525000000001,5992390.0,309.24511002939016,311.39173645953616,306.1217660657867,308.67911285032017,5992390.0
2011-02-28,615.3642105263158,619.9549947368422,611.8070157894738,616.8386842105263,4402821.052631579,308.63483142094765,310.93733112221224,306.85072669214367,309.3743510894245,4402821.052631579
2011-03-31,583.8391304347825,587.9078782608694,577.9181086956521,582.2543478260869,5224200.0,292.8234832581084,294.8641565340611,289.85380527710714,292.0286383436549,5224200.0
2011-04-30,556.02082,558.473345,550.5295000000001,554.564,7017100.0,278.87125886060676,280.10131843667995,276.11709702687097,278.14059336622233,7017100.0
2011-05-31,529.8233333333334,533.5233476190476,525.8247619047618,529.3590476190476,4312580.952380952,265.7319557573214,267.5876913782633,263.72647932942465,265.4990940784837,4312580.952380952
2011-06-30,504.15727272727275,507.9102545454545,499.47381818181816,502.8981818181817,5369581.818181818,252.8591884548222,254.74148984799177,250.51021011097643,252.2276936362682,5369581.818181818
2011-07-31,570.8845,579.3494200000001,567.6781050000002,573.7469,8097410.0,286.32611127584767,290.57167693030334,284.7179495346121,287.7617429332423,8097410.0
2011-08-31,550.4610869565216,557.3697391304348,538.9933043478261,547.1452173913043,9275508.695652174,276.08278458591377,279.5478068647003,270.33113850110215,274.41971607011646,9275508.695652174
2011-09-30,532.4133333333333,538.2264619047619,525.8836190476189,532.1707142857142,5578133.333333333,267.0309656764984,269.94653003006493,263.7559990253265,266.9092805222751,5578133.333333333
2011-10-31,559.8519047619047,566.9047619047619,553.7336190476191,561.7423809523809,7346447.619047619,280.79273264706325,284.33008067297453,277.7241172682151,281.7408976367916,7346447.619047619
2011-11-30,594.1783333333334,599.9627285714286,588.8638095238096,594.4523809523811,5737109.523809524,298.009092185368,300.91024538642057,295.3436021682736,298.1465402840048,5737109.523809524
2011-12-31,626.2860952380952,631.4742809523809,622.6638095238095,627.3385714285714,5237323.80952381,314.1126833810673,316.71480874994376,312.29593238765017,314.6405509529307,5237323.80952381
2012-01-31,617.0125,620.211,609.8381999999999,614.8890000000001,7356845.0,309.46152809121446,311.06573010916344,305.86327061509394,308.39649042195856,7356845.0
2012-02-29,604.89756,609.5184250000001,601.297195,606.3965000000001,4731675.0,303.38530136139394,305.70288802941633,301.57954466345655,304.1370920672824,4731675.0
2012-03-31,626.5463636363637,631.9229454545454,621.9405909090908,627.2722727272726,4298395.454545454,314.2432205358933,316.93983563747054,311.93320337056406,314.6072989565541,4298395.454545454
2012-04-30,621.3175,626.2751000000001,614.7855000000001,619.4309999999999,5881840.0,311.6206932271439,314.10716873884746,308.34458018001465,310.6745224887163,5881840.0
2012-05-31,606.03,612.4851136363636,599.472181818182,605.3881818181818,5328545.454545454,303.9532746404954,307.1908254679285,300.6642125299388,303.63137186656104,5328545.454545454
2012-06-30,571.297142857143,575.1994285714285,565.500961904762,570.624761904762,4424500.0,286.5330715710237,288.49025606921674,283.62600726581593,286.1958400935686,4424500.0
2012-07-31,594.4014285714285,600.5022857142858,589.2919428571429,596.0499999999998,4879504.761904762,298.12098520745553,301.1808593171288,295.55833168438573,298.9478232916973,4879504.761904762
2012-08-31,659.3217391304348,666.1521043478261,656.4472260869564,662.5143478260869,4088317.3913043477,330.68165214653095,334.1074097407369,329.23994521360345,332.28289939120396,4088317.3913043477
2012-09-30,715.1789473684212,723.0904736842103,710.7421157894736,718.3019263157895,6328094.736842105,358.6967361460227,362.6647481769264,356.4714511148371,360.26306071359517,6328094.736842105
2012-10-31,730.6890476190476,735.3929523809524,719.2641000000001,726.0561809523808,6831085.714285715,366.47579949466933,368.83503460840626,360.74563722315526,364.152193411957,6831085.714285715
2012-11-30,669.7809523809524,676.0579523809523,663.4245714285714,670.1133904761905,4441142.857142857,335.9274520535621,339.0756703016989,332.73942042915616,336.09418579225957,4441142.857142857
2012-12-31,703.6569999999999,709.8996999999999,697.9890800000001,703.2981599999999,4165335.0,352.9179238217697,356.0489389655716,350.07518857037894,352.7379482544347,4165335.0
2013-01-31,733.4795238095239,739.8366714285714,728.4994809523808,734.1680000000001,4985933.333333333,367.875357892606,371.0637740373225,365.3776262055962,368.2206619082607,4985933.333333333
2013-02-28,783.9515789473684,791.2444105263157,779.8131052631579,785.9457894736843,4873005.263157895,393.1895278792131,396.847234659113,391.1138837224399,394.18972064161136,4873005.263157895
2013-03-31,818.6542499999999,823.12585,813.4894999999999,817.9836,4250590.0,410.59459116852105,412.83731423979214,408.0042199406949,410.2582278471712,4250590.0
2013-04-30,795.2259090909091,802.2711363636362,787.4967318181818,796.406090909091,4863468.181818182,398.8441482222774,402.3776695003196,394.9675930314084,399.436066325849,4863468.181818182
2013-05-31,874.5790954545454,882.8753954545456,869.2650454545455,876.6380909090909,4487936.363636363,438.643598494351,442.8045930860378,435.97834611558534,439.67628402292047,4487936.363636363
2013-06-30,878.3430000000001,884.068995,870.86656,877.2575,4853150.0,440.5313781620657,443.4032408269918,436.7815829033275,439.9869475569436,4853150.0
2013-07-31,901.6154545454548,907.1524545454545,894.8165454545455,901.4175454545453,4653968.181818182,452.2036365783372,454.9807091352807,448.7936557487332,452.1043756238251,4653968.181818182
2013-08-31,877.2440909090909,881.1778636363637,871.7293181818185,875.0435454545454,3041181.8181818184,439.9802222511141,441.95319900498106,437.21429774349457,438.8765425703981,3041181.8181818184
2013-09-30,884.5289999999999,889.72425,878.9300100000003,885.2965,3309000.0,443.6339555211504,446.23962397003254,440.8257919893461,444.0188937887057,3309000.0
2013-10-31,935.7204347826087,945.290213043478,929.3604782608694,938.6950869565218,4797273.9130434785,469.30892909625277,474.10863445733185,466.1191041513593,470.8008606329381,4797273.9130434785
2013-11-30,1030.0569999999998,1037.709,1025.0749999999998,1030.8545,2622985.0,516.6232665319618,520.4611135981947,514.1245532434134,517.0232512464574,2622985.0
2013-12-31,1083.3080952380951,1090.1895238095237,1076.8242857142855,1084.3509523809523,3219885.714285714,543.3312591656794,546.7826274947892,540.079315966651,543.8543023212225,3219885.714285714
2014-01-31,1139.5614285714282,1145.5366666666669,1126.6990476190474,1136.3747619047617,5186347.619047619,571.545019006133,574.54188910465,565.0939145886127,569.9467519755882,5186347.619047619
2014-02-28,1189.386842105263,1197.6273684210526,1181.751578947368,1190.1763157894736,4263710.52631579,596.5348670399363,600.6678884389519,592.7054143072597,596.9308261699434,4263710.52631579
2014-03-31,1189.8147619047618,1195.595238095238,1175.517142857143,1182.4452380952382,4153528.5714285714,596.7494894585313,599.6486770681822,589.5785439127893,593.0533178260282,4153528.5714285714
2014-04-30,603.1828571428572,608.7482047619048,592.3996047619048,600.5533333333334,3280361.904761905,549.4884458331459,554.5759918282375,539.1839445080898,546.6733080792934,3280361.904761905
2014-05-31,542.0204761904761,546.5765666666666,537.193076190476,542.9804761904762,1974133.3333333333,542.0204761904761,546.5765666666666,537.193076190476,542.9804761904762,1974133.3333333333
2014-06-30,566.6480952380952,570.4709476190476,561.6588285714288,567.282142857143,1878371.4285714286,566.6480952380952,570.4709476190476,561.6588285714288,567.282142857143,1878371.4285714286
2014-07-31,593.0525000000001,596.6660363636363,587.8629863636365,592.4854545454546,1753786.3636363635,593.0525000000001,596.6660363636363,587.8629863636365,592.4854545454546,1753786.3636363635
2014-08-31,583.8769047619048,587.0310857142857,579.4990476190476,583.337619047619,1383171.4285714286,583.8769047619048,587.0310857142857,579.4990476190476,583.337619047619,1383171.4285714286
2014-09-30,591.5252380952381,595.388995238095,587.7782428571429,592.1295238095238,1686366.8095238095,591.5252380952381,595.388995238095,587.7782428571429,592.1295238095238,1686366.8095238095
2014-10-31,558.7530434782609,564.0565217391304,552.0974782608696,557.5434782608696,2413174.347826087,558.7530434782609,564.0565217391304,552.0974782608696,557.5434782608696,2413174.347826087
2014-11-30,553.9194736842104,556.3278368421054,549.4037894736842,552.5442105263159,1567122.2105263157,553.9194736842104,556.3278368421054,549.4037894736842,552.5442105263159,1567122.2105263157
2014-12-31,529.9588636363636,534.4590909090907,525.0974545454545,529.1931818181819,2475891.5454545454,529.9588636363636,534.4590909090907,525.0974545454545,529.1931818181819,2475891.5454545454
2015-01-31,516.4799999999999,521.5150450000001,510.1746,515.91925,2642175.5,516.4799999999999,521.5150450000001,510.1746,515.91925,2642175.5
2015-02-28,539.1768421052632,544.8484684210526,535.208552631579,540.9855263157895,2127385.5789473685,539.1768421052632,544.8484684210526,535.208552631579,540.9855263157895,2127385.5789473685
2015-03-31,566.3547727272728,570.5662681818183,561.6945454545455,565.9661363636363,1963970.1818181819,566.3547727272728,570.5662681818183,561.6945454545455,565.9661363636363,1963970.1818181819
2015-04-30,549.8966666666665,554.3677857142858,544.9755238095238,549.4826190476191,2083168.619047619,549.8966666666665,554.3677857142858,544.9755238095238,549.4826190476191,2083168.619047619
2015-05-31,548.0424999999999,551.7443200000001,543.7343649999999,547.67675,1621088.05,548.0424999999999,551.7443200000001,543.7343649999999,547.67675,1621088.05
2015-06-30,551.2040909090908,554.4163636363636,547.5136363636364,550.7968181818181,1600826.4545454546,551.2040909090908,554.4163636363636,547.5136363636364,550.7968181818181,1600826.4545454546
2015-07-31,615.7963636363637,623.9422090909092,610.5043181818182,617.465,3115625.727272727,615.7963636363637,623.9422090909092,610.5043181818182,617.465,3115625.727272727
2015-08-31,670.3246428571429,677.8562714285714,659.6850857142857,667.657142857143,2635463.5714285714,670.3246428571429,677.8562714285714,659.6850857142857,667.657142857143,2635463.5714285714
2015-09-30,648.9128571428571,654.8960380952382,641.4089714285716,647.7328571428573,2069433.7142857143,648.9128571428571,654.8960380952382,641.4089714285716,647.7328571428573,2069433.7142857143
2015-10-31,690.5204545454544,697.7532636363636,682.7550136363639,691.5554545454545,2286083.6363636362,690.5204545454544,697.7532636363636,682.7550136363639,691.5554545454545,2286083.6363636362
2015-11-30,758.7245,764.7243500000001,753.014005,759.6389999999999,1878709.85,758.7245,764.7243500000001,753.014005,759.6389999999999,1878709.85
2015-12-31,771.3645454545455,778.3820727272728,763.1033454545453,771.0399999999998,1984115.0454545454,771.3645454545455,778.3820727272728,763.1033454545453,771.0399999999998,1984115.0454545454
2016-01-31,737.7757894736843,746.6122631578946,725.8753210526316,736.6568421052631,2736802.1052631577,737.7757894736843,746.6122631578946,725.8753210526316,736.6568421052631,2736802.1052631577
2016-02-29,728.418,736.412445,715.9129650000002,724.3900000000001,3382373.85,728.418,736.412445,715.9129650000002,724.3900000000001,3382373.85
2016-03-31,744.8870454545454,751.6136454545453,739.6794318181818,746.7872727272727,1934765.8636363635,744.8870454545454,751.6136454545453,739.6794318181818,746.7872727272727,1934765.8636363635
2016-04-30,758.2119047619049,763.449519047619,750.302423809524,756.6085714285715,2221989.0,758.2119047619049,763.449519047619,750.302423809524,756.6085714285715,2221989.0
2016-05-31,724.9966666666666,731.0238047619048,720.6206000000001,726.5295238095239,1624201.5238095238,724.9966666666666,731.0238047619048,720.6206000000001,726.5295238095239,1624201.5238095238
2016-06-30,721.1204545454544,725.0615863636364,714.8913590909091,719.585,1908145.2272727273,721.1204545454544,725.0615863636364,714.8913590909091,719.585,1908145.2272727273
2016-07-31,739.4645,744.2660350000001,735.315965,741.0735000000001,1633375.1,739.4645,744.2660350000001,735.315965,741.0735000000001,1633375.1
2016-08-31,799.2891304347827,803.526,795.9455173913043,800.2099999999999,1254655.4347826086,799.2891304347827,803.526,795.9455173913043,800.2099999999999,1254655.4347826086
2016-09-30,800.3199999999999,805.7683333333332,796.245019047619,801.6214285714285,1503666.380952381,800.3199999999999,805.7683333333332,796.245019047619,801.6214285714285,1503666.380952381
2016-10-31,815.7385714285715,819.8590476190478,809.6461904761904,813.6519047619047,1685320.4761904762,815.7385714285715,819.8590476190478,809.6461904761904,813.6519047619047,1685320.4761904762
2016-11-30,787.7542857142857,794.0684571428571,777.5725857142858,784.7361904761905,2302538.8571428573,787.7542857142857,794.0684571428571,777.5725857142858,784.7361904761905,2302538.8571428573
2016-12-31,800.6985714285715,806.0130761904762,794.7261285714286,800.6242857142857,1636032.8095238095,800.6985714285715,806.0130761904762,794.7261285714286,800.6242857142857,1636032.8095238095
2017-01-31,829.8539999999997,834.4360649999999,823.9295100000002,830.2495000000001,1842012.75,829.8539999999997,834.4360649999999,823.9295100000002,830.2495000000001,1842012.75
2017-02-28,836.1510526315789,839.683552631579,832.2032631578946,836.7547368421052,1394326.1578947369,836.1510526315789,839.683552631579,832.2032631578946,836.7547368421052,1394326.1578947369
